,,PLC -> PC,,,,,,PLC <- PC,,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,,
M167 ERROR#24,M367 ITEM 5 +OK,M,167,263,ERROR#24,,263,M,367,583,ITEM 5 +OK,,
M168 ERROR#25,M368 ITEM 5 +NG,M,168,264,ERROR#25,,264,M,368,584,ITEM 5 +NG,,
M169 ERROR#26,M369 ITEM 6 -NG,M,169,265,ERROR#26,,265,M,369,585,ITEM 6 -NG,,
M16A ERROR#27,M36A ITEM 6 -OK,M,16A,266,ERROR#27,,266,M,36A,586,ITEM 6 -OK,,
M16B ERROR#28,M36B ITEM 6 OK,M,16B,267,ERROR#28,,267,M,36B,587,ITEM 6 OK,,
M16C ERROR#29,M36C ITEM 6 +OK,M,16C,268,ERROR#29,,268,M,36C,588,ITEM 6 +OK,,
M16D ERROR#30,M36D ITEM 6 +NG,M,16D,269,ERROR#30,,269,M,36D,589,ITEM 6 +NG,,
M16E 측정 연속NG알람,M36E ITEM 7 -NG,M,16E,270,측정 연속NG알람,,270,M,36E,590,ITEM 7 -NG,,
M16F 불량배출 제품FULL감지알람,M36F ITEM 7 -OK,M,16F,271,불량배출 제품FULL감지알람,,271,M,36F,591,ITEM 7 -OK,,
M170 1번항목 보정신호이상알람,M370 ITEM 7 OK,M,170,272,1번항목 보정신호이상알람,,272,M,370,592,ITEM 7 OK,,
M171 2번항목 보정신호이상알람,M371 ITEM 7 +OK,M,171,273,2번항목 보정신호이상알람,,273,M,371,593,ITEM 7 +OK,,
M172 3번항목 보정신호이상알람,M372 ITEM 7 +NG,M,172,274,3번항목 보정신호이상알람,,274,M,372,594,ITEM 7 +NG,,
M173 4번항목 보정신호이상알람,M373 ITEM 8 -NG,M,173,275,4번항목 보정신호이상알람,,275,M,373,595,ITEM 8 -NG,,
M174 5번항목 보정신호이상알람,M374 ITEM 8 -OK,M,174,276,5번항목 보정신호이상알람,,276,M,374,596,ITEM 8 -OK,,
M175 ERROR#38,M375 ITEM 8 OK,M,175,277,ERROR#38,,277,M,375,597,ITEM 8 OK,,
M176 ERROR#39,M376 ITEM 8 +OK,M,176,278,ERROR#39,,278,M,376,598,ITEM 8 +OK,,
M177 ERROR#40,M377 ITEM 8 +NG,M,177,279,ERROR#40,,279,M,377,599,ITEM 8 +NG,,
M178 ERROR#41,M378 ITEM 9 -NG,M,178,280,ERROR#41,,280,M,378,600,ITEM 9 -NG,,
M179 ERROR#42,M379 ITEM 9 -OK,M,179,281,ERROR#42,,281,M,379,601,ITEM 9 -OK,,
M17A ERROR#43,M37A ITEM 9 OK,M,17A,282,ERROR#43,,282,M,37A,602,ITEM 9 OK,,
M17B ERROR#44,M37B ITEM 9 +OK,M,17B,283,ERROR#44,,283,M,37B,603,ITEM 9 +OK,,
M17C ERROR#45,M37C ITEM 9 +NG,M,17C,284,ERROR#45,,284,M,37C,604,ITEM 9 +NG,,
M17D ERROR#46,M37D ITEM 10 -NG,M,17D,285,ERROR#46,,285,M,37D,605,ITEM 10 -NG,,
M17E ERROR#47,M37E ITEM 10 -OK,M,17E,286,ERROR#47,,286,M,37E,606,ITEM 10 -OK,,
M17F ERROR#48,M37F ITEM 10 OK,M,17F,287,ERROR#48,,287,M,37F,607,ITEM 10 OK,,
M180 ERROR#49,M380 ITEM 10 +OK,M,180,288,ERROR#49,,288,M,380,608,ITEM 10 +OK,,
M181 ERROR#50,M381 ITEM 10 +NG,M,181,289,ERROR#50,,289,M,381,609,ITEM 10 +NG,,
M182 ERROR#51,M382 ITEM 11 -NG,M,182,290,ERROR#51,,290,M,382,610,ITEM 11 -NG,,
M183 ERROR#52,M383 ITEM 11 -OK,M,183,291,ERROR#52,,291,M,383,611,ITEM 11 -OK,,
M184 ERROR#53,M384 ITEM 11 OK,M,184,292,ERROR#53,,292,M,384,612,ITEM 11 OK,,
M185 ERROR#54,M385 ITEM 11 +OK,M,185,293,ERROR#54,,293,M,385,613,ITEM 11 +OK,,
M186 ERROR#55,M386 ITEM 11 +NG,M,186,294,ERROR#55,,294,M,386,614,ITEM 11 +NG,,
M187 ERROR#56,M387 ITEM 12 -NG,M,187,295,ERROR#56,,295,M,387,615,ITEM 12 -NG,,
M188 ERROR#57,M388 ITEM 12 -OK,M,188,296,ERROR#57,,296,M,388,616,ITEM 12 -OK,,
M189 ERROR#58,M389 ITEM 12 OK,M,189,297,ERROR#58,,297,M,389,617,ITEM 12 OK,,
M18A ERROR#59,M38A ITEM 12 +OK,M,18A,298,ERROR#59,,298,M,38A,618,ITEM 12 +OK,,
M18B ERROR#60,M38B ITEM 12 +NG,M,18B,299,ERROR#60,,299,M,38B,619,ITEM 12 +NG,,
M18C ERROR#61,M38C ITEM 13 -NG,M,18C,300,ERROR#61,,300,M,38C,620,ITEM 13 -NG,,
M18D ERROR#62,M38D ITEM 13 -OK,M,18D,301,ERROR#62,,301,M,38D,621,ITEM 13 -OK,,
M18E ERROR#63,M38E ITEM 13 OK,M,18E,302,ERROR#63,,302,M,38E,622,ITEM 13 OK,,
M18F ERROR#64,M38F ITEM 13 +OK,M,18F,303,ERROR#64,,303,M,38F,623,ITEM 13 +OK,,
M190 ERROR#65,M390 ITEM 13 +NG,M,190,304,ERROR#65,,304,M,390,624,ITEM 13 +NG,,
M191 ERROR#66,M391 ITEM 14 -NG,M,191,305,ERROR#66,,305,M,391,625,ITEM 14 -NG,,
M192 ERROR#67,M392 ITEM 14 -OK,M,192,306,ERROR#67,,306,M,392,626,ITEM 14 -OK,,
M193 ERROR#68,M393 ITEM 14 OK,M,193,307,ERROR#68,,307,M,393,627,ITEM 14 OK,,
M194 ERROR#69,M394 ITEM 14 +OK,M,194,308,ERROR#69,,308,M,394,628,ITEM 14 +OK,,
M195 ERROR#70,M395 ITEM 14 +NG,M,195,309,ERROR#70,,309,M,395,629,ITEM 14 +NG,,
M196 ERROR#71,M396 ITEM 15 -NG,M,196,310,ERROR#71,,310,M,396,630,ITEM 15 -NG,,
M197 ERROR#72,M397 ITEM 15 -OK,M,197,311,ERROR#72,,311,M,397,631,ITEM 15 -OK,,
M198 ERROR#73,M398 ITEM 15 OK,M,198,312,ERROR#73,,312,M,398,632,ITEM 15 OK,,
M199 ERROR#74,M399 ITEM 15 +OK,M,199,313,ERROR#74,,313,M,399,633,ITEM 15 +OK,,
M19A ERROR#75,M39A ITEM 15 +NG,M,19A,314,ERROR#75,,314,M,39A,634,ITEM 15 +NG,,
M19B ERROR#76,M39B ITEM 16 -NG,M,19B,315,ERROR#76,,315,M,39B,635,ITEM 16 -NG,,
M19C ERROR#77,M39C ITEM 16 -OK,M,19C,316,ERROR#77,,316,M,39C,636,ITEM 16 -OK,,
M19D ERROR#78,M39D ITEM 16 OK,M,19D,317,ERROR#78,,317,M,39D,637,ITEM 16 OK,,
M19E ERROR#79,M39E ITEM 16 +OK,M,19E,318,ERROR#79,,318,M,39E,638,ITEM 16 +OK,,
M19F ERROR#80,M39F ITEM 16 +NG,M,19F,319,ERROR#80,,319,M,39F,639,ITEM 16 +NG,,
