,,PLC -> PC,,,,,,PLC <- PC,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,
M028 1 MC NO 1,M228 BYPASS 1,M,028,040,1 MC NO 1,ㅇ,,M,228,360,BYPASS 1,측정 바이패스
M029 1 MC NO 2,M229 BYPASS 2,M,029,041,1 MC NO 2,ㅇ,,M,229,361,BYPASS 2,마킹 바이패스
M02A 1 MC NO 3,M22A BYPASS 3,M,02A,042,1 MC NO 3,,,M,22A,362,BYPASS 3,
M02B 1 MC NO 4,M22B BYPASS 4,M,02B,043,1 MC NO 4,,,M,22B,363,BYPASS 4,
M02C 2 MC NO 1,M22C BYPASS 5,M,02C,044,2 MC NO 1,ㅇ,,M,22C,364,BYPASS 5,
M02D 2 MC NO 2,M22D BYPASS 6,M,02D,045,2 MC NO 2,ㅇ,,M,22D,365,BYPASS 6,
M02E 2 MC NO 3,M22E BYPASS 7,M,02E,046,2 MC NO 3,,,M,22E,366,BYPASS 7,
M02F 2 MC NO 4,M22F BYPASS 8,M,02F,047,2 MC NO 4,,,M,22F,367,BYPASS 8,
M030 MODEL BIT 2^0,M230 MODEL BIT 2^0,M,030,048,MODEL BIT 2^0,,,M,230,368,MODEL BIT 2^0,
M031 MODEL BIT 2^1,M231 MODEL BIT 2^1,M,031,049,MODEL BIT 2^1,,,M,231,369,MODEL BIT 2^1,
M032 MODEL BIT 2^2,M232 MODEL BIT 2^2,M,032,050,MODEL BIT 2^2,,,M,232,370,MODEL BIT 2^2,
M033 MODEL BIT 2^3,M233 MODEL BIT 2^3,M,033,051,MODEL BIT 2^3,,,M,233,371,MODEL BIT 2^3,
M034 MODEL BIT 2^4,M234 MODEL BIT 2^4,M,034,052,MODEL BIT 2^4,,,M,234,372,MODEL BIT 2^4,
M035 MODEL BIT 2^5,M235 MODEL BIT 2^5,M,035,053,MODEL BIT 2^5,,,M,235,373,MODEL BIT 2^5,
M036 MODEL BIT 2^6,M236 MODEL BIT 2^6,M,036,054,MODEL BIT 2^6,,,M,236,374,MODEL BIT 2^6,
M037 MODEL BIT 2^7,M237 MODEL BIT 2^7,M,037,055,MODEL BIT 2^7,,,M,237,375,MODEL BIT 2^7,
M038 ,M238 MARKING CYCLE,M,038,056,,,,M,238,376,MARKING CYCLE,
M039 ,M239 ,M,039,057,,,,M,239,377,,
M03A ,M23A ,M,03A,058,,,,M,23A,378,,
M03B ,M23B ,M,03B,059,,,,M,23B,379,,
M03C ,M23C ,M,03C,060,,,,M,23C,380,,
M03D ,M23D ,M,03D,061,,,,M,23D,381,,
M03E ,M23E ,M,03E,062,,,,M,23E,382,,
M03F ,M23F ,M,03F,063,,,,M,23F,383,,
M040 MANU-SOL 1 HOME,M240 MANU-SOL 1,M,040,064,MANU-SOL 1 HOME,HOME,,M,240,384,MANU-SOL 1,이송로더_하강/상승
M041 MANU-SOL 1 ACT,M241 MANU-SOL 2,M,041,065,MANU-SOL 1 ACT,ACT,,M,241,385,MANU-SOL 2,이송로더_전진/후진
M042 MANU-SOL 2 HOME,M242 MANU-SOL 3,M,042,066,MANU-SOL 2 HOME,HOME,,M,242,386,MANU-SOL 3,이송로더_제품고정_동작/복귀
M043 MANU-SOL 2 ACT,M243 MANU-SOL 4,M,043,067,MANU-SOL 2 ACT,ACT,,M,243,387,MANU-SOL 4,측정부_하강/상승
M044 MANU-SOL 3 HOME,M244 MANU-SOL 5,M,044,068,MANU-SOL 3 HOME,HOME,,M,244,388,MANU-SOL 5,측정부_상부프로브_동작/복귀
M045 MANU-SOL 3 ACT,M245 MANU-SOL 6,M,045,069,MANU-SOL 3 ACT,ACT,,M,245,389,MANU-SOL 6,측정부_하부프로브_동작/복귀
M046 MANU-SOL 4 HOME,M246 MANU-SOL 7,M,046,070,MANU-SOL 4 HOME,HOME,,M,246,390,MANU-SOL 7,NG셔틀_상승/하강
M047 MANU-SOL 4 ACT,M247 MANU-SOL 8,M,047,071,MANU-SOL 4 ACT,ACT,,M,247,391,MANU-SOL 8,NG셔틀_후진/전진
M048 MANU-SOL 5 HOME,M248 MANU-SOL 9,M,048,072,MANU-SOL 5 HOME,HOME,,M,248,392,MANU-SOL 9,AIR BLOW #1(좌)
M049 MANU-SOL 5 ACT,M249 MANU-SOL 10,M,049,073,MANU-SOL 5 ACT,ACT,,M,249,393,MANU-SOL 10,AIR BLOW #2(우)
M04A MANU-SOL 6 HOME,M24A MANU-SOL 11,M,04A,074,MANU-SOL 6 HOME,HOME,,M,24A,394,MANU-SOL 11,NON_SELECT:0/SELECT:1
