1
9
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    2.000,    2.000,    2.000,    2.000,    2.000,    0.000,    2.000,    1.000,    1.000,    3.000,    1.000,    1.000,    1.000,    2.000,    3.000,    2.000,
        3,    2.000,    2.000,    2.000,    1.000,    1.000,    1.000,    0.000,    2.000,    1.000,    1.000,    3.000,    0.000,    0.000,    3.000,    2.000,    1.000,
        4,    2.000,    2.000,    3.000,    0.000,    1.000,    2.000,    0.000,    1.000,    0.000,    3.000,    1.000,    0.000,    1.000,    2.000,    1.000,    0.000,
        5,    1.000,    0.000,    1.000,    0.000,    1.000,    1.000,    2.000,    1.000,    1.000,    1.000,    0.000,    0.000,    1.000,    2.000,    0.000,    1.000,
        6,    2.000,    0.000,    1.000,    0.000,    0.000,    0.000,    2.000,    0.000,    2.000,    1.000,    2.000,    2.000,    3.000,    0.000,    2.000,    3.000,
        7,    2.000,    1.000,    2.000,    2.000,    0.000,    0.000,    0.000,    2.000,    2.000,    0.000,    0.000,    0.000,    2.000,    0.000,    1.000,    2.000,
        8,    0.000,    3.000,    0.000,    1.000,    2.000,    2.000,    2.000,    3.000,    1.000,    1.000,    0.000,    1.000,    0.000,    3.000,    2.000,    1.000,
        9,    0.000,    1.000,    2.000,    0.000,    1.000,    0.000,    0.000,    3.000,    2.000,    3.000,    1.000,    2.000,    2.000,    1.000,    1.000,    1.000,
       10,    0.000,    1.000,    1.000,    0.000,    2.000,    2.000,    1.000,    2.000,    0.000,    3.000,    1.000,    2.000,    1.000,    2.000,    2.000,    0.000,
