1
82
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
        3,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
        4,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
        5,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
        6,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
        7,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
        8,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
        9,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       10,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       11,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       12,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       13,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       14,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       15,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       16,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       17,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       18,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       19,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       20,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       21,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       22,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       23,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       24,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       25,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
       26,    0.002,    0.004,   -0.011,   -0.006,   -0.006,   -0.017,   -0.004,    0.003,   -0.005,   -0.018,    0.015,    0.000,   -0.005,    0.008,    0.000,   -0.007,
