1
86
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
        3,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
        4,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
        5,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
        6,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
        7,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
        8,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
        9,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       10,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       11,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       12,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       13,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       14,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       15,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       16,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       17,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       18,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       19,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       20,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       21,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       22,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       23,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       24,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       25,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       26,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       27,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       28,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       29,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       30,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       31,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       32,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       33,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       34,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       35,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       36,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       37,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       38,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       39,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,   -0.001,    0.009,   -0.012,    0.002,   -0.011,
       40,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       41,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       42,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       43,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       44,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       45,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       46,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       47,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       48,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       49,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       50,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       51,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       52,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       53,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       54,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       55,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       56,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       57,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       58,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       59,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       60,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
       61,    0.010,   -0.005,   -0.021,   -0.011,   -0.009,   -0.025,   -0.001,    0.002,    0.010,   -0.022,    0.016,    0.000,    0.009,   -0.012,    0.002,   -0.011,
