1
82
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
       12,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       13,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       14,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       15,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       16,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       17,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       18,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       19,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       20,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       21,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       22,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       23,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       24,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       25,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,   -0.001,    0.010,   -0.011,    0.029,   -0.034,
       26,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       27,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       28,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       29,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       30,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       31,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       32,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       33,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       34,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       35,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       36,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       37,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       38,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       39,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       40,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       41,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       42,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       43,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
       44,    0.034,   -0.027,   -0.007,    0.000,   -0.009,   -0.020,    0.018,   -0.015,   -0.008,   -0.017,    0.018,    0.000,    0.010,   -0.011,    0.029,   -0.034,
