1
82
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
        3,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
        4,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
        5,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
        6,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
        7,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
        8,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
        9,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       10,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       11,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       12,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       13,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       14,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       15,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       16,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       17,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       18,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
       19,    0.018,    0.030,   -0.005,    0.000,   -0.010,   -0.021,    0.000,    0.000,   -0.017,   -0.019,    0.020,    0.000,   -0.007,    0.010,    0.024,   -0.031,
