1
86
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,    0.000,   -0.008,    0.006,    0.009,   -0.016,
        3,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,    0.000,   -0.008,    0.006,    0.009,   -0.016,
        4,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,    0.000,   -0.008,    0.006,    0.009,   -0.016,
        5,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,    0.000,   -0.008,    0.006,    0.009,   -0.016,
        6,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,    0.000,   -0.008,    0.006,    0.009,   -0.016,
        7,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
        8,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
        9,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
       10,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
       11,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
       12,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
       13,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
       14,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
       15,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
       16,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
       17,    0.001,    0.008,   -0.017,   -0.005,   -0.002,   -0.021,   -0.012,    0.014,    0.011,   -0.023,    0.006,   -0.001,   -0.008,    0.006,    0.009,   -0.016,
