1
88
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
        3,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
        4,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
        5,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
        6,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
        7,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
        8,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
        9,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       10,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       11,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       12,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       13,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       14,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       15,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       16,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       17,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       18,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       19,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,   -0.001,    0.013,   -0.014,    0.033,   -0.042,
       20,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       21,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       22,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       23,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       24,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       25,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       26,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       27,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       28,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       29,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       30,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       31,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       32,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       33,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       34,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       35,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
       36,    0.041,   -0.036,    0.000,    0.006,   -0.006,   -0.016,    0.023,   -0.023,   -0.019,   -0.015,    0.025,    0.000,    0.013,   -0.014,    0.033,   -0.042,
