1
85
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
        3,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
        4,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
        5,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
        6,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
        7,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
        8,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
        9,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       10,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       11,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       12,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       13,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       14,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       15,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       16,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       17,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       18,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,   -0.001,   -0.008,    0.011,    0.009,   -0.012,
       19,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,    0.000,   -0.008,    0.011,    0.009,   -0.012,
       20,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,    0.000,   -0.008,    0.011,    0.009,   -0.012,
       21,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,    0.000,   -0.008,    0.011,    0.009,   -0.012,
       22,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,    0.000,   -0.008,    0.011,    0.009,   -0.012,
       23,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,    0.000,   -0.008,    0.011,    0.009,   -0.012,
       24,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,    0.000,   -0.008,    0.011,    0.009,   -0.012,
       25,    0.007,    0.003,   -0.005,    0.003,   -0.002,   -0.016,   -0.013,    0.017,   -0.012,   -0.019,    0.009,    0.000,   -0.008,    0.011,    0.009,   -0.012,
