1
89
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
        3,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
        4,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
        5,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
        6,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
        7,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
        8,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
        9,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
       10,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
       11,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
       12,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
       13,    0.015,   -0.010,    0.000,    0.010,    0.002,   -0.012,   -0.004,    0.006,   -0.013,   -0.022,    0.010,   -0.001,    0.010,   -0.009,    0.001,   -0.009,
