1
86
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
        3,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
        4,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
        5,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
        6,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
        7,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
        8,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
        9,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       10,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       11,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       12,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       13,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       14,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       15,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       16,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       17,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       18,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       19,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       20,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       21,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       22,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       23,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       24,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       25,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       26,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       27,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       28,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       29,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       30,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       31,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       32,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.029,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       33,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       34,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       35,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       36,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       37,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       38,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       39,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       40,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       41,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       42,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       43,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       44,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       45,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       46,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       47,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,   -0.001,    0.001,   -0.002,    0.053,   -0.062,
       48,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       49,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       50,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       51,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       52,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       53,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       54,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       55,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       56,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       57,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       58,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       59,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       60,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       61,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
       62,    0.048,   -0.042,   -0.001,    0.004,   -0.007,   -0.017,    0.032,   -0.030,   -0.018,   -0.019,    0.019,    0.000,    0.001,   -0.002,    0.053,   -0.062,
