1
82
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
        3,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
        4,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
        5,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
        6,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
        7,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
        8,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
        9,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       10,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       11,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       12,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       13,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       14,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       15,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       16,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       17,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       18,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       19,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       20,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,   -0.001,    0.021,   -0.019,    0.000,   -0.007,
       21,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
       22,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
       23,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
       24,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
       25,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
       26,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
       27,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
       28,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
       29,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
       30,    0.019,   -0.013,    0.001,    0.010,    0.003,   -0.012,    0.001,    0.002,   -0.014,   -0.025,    0.010,    0.000,    0.021,   -0.019,    0.000,   -0.007,
